#mode,#try,loss,val_loss,mae,val_mae,train_time
single,0,"[0.07760690897703171, 0.03759517893195152, 0.03864135220646858, 0.024685807526111603, 0.024170948192477226]","[0.030455507338047028, 0.03142401948571205, 0.014147389680147171, 0.008299501612782478, 0.01581127941608429]","[0.21672308444976807, 0.15416912734508514, 0.1554461419582367, 0.12196028232574463, 0.12772099673748016]","[0.16713584959506989, 0.1698046326637268, 0.1079990416765213, 0.07732528448104858, 0.11530350148677826]",18.221054077148438
single,1,"[0.0728120282292366, 0.03713025152683258, 0.034154944121837616, 0.026777483522892, 0.022863073274493217]","[0.04277933016419411, 0.02420148439705372, 0.0057879118248820305, 0.009250403381884098, 0.005204122979193926]","[0.22224865853786469, 0.15241554379463196, 0.14863327145576477, 0.13124004006385803, 0.11813147366046906]","[0.2000473141670227, 0.1464546024799347, 0.06055846065282822, 0.08162794262170792, 0.0572819784283638]",18.201111316680908
single,2,"[0.06682269275188446, 0.0350155308842659, 0.02789764106273651, 0.02498834766447544, 0.023259302601218224]","[0.06202732026576996, 0.024949993938207626, 0.02028690092265606, 0.010199913755059242, 0.023171788081526756]","[0.20206479728221893, 0.1521579772233963, 0.12929792702198029, 0.1243663877248764, 0.12342508882284164]","[0.24270354211330414, 0.14793352782726288, 0.13106629252433777, 0.08555717021226883, 0.14097632467746735]",18.379634618759155
single,3,"[0.04358246922492981, 0.03056403249502182, 0.021969683468341827, 0.020102104172110558, 0.020222891122102737]","[0.02076965570449829, 0.004389336332678795, 0.006479023024439812, 0.01890893280506134, 0.004884210415184498]","[0.16448168456554413, 0.1352674812078476, 0.12027405202388763, 0.11181646585464478, 0.11276129633188248]","[0.1336444467306137, 0.050815191119909286, 0.0651138499379158, 0.12516188621520996, 0.05418209359049797]",18.266549825668335
single,4,"[0.07395778596401215, 0.03401963785290718, 0.026828844100236893, 0.02208956517279148, 0.021630272269248962]","[0.02462141029536724, 0.049414124339818954, 0.020386122167110443, 0.006885715760290623, 0.010648244991898537]","[0.2110385000705719, 0.1484217792749405, 0.13213646411895752, 0.11944927275180817, 0.11583377420902252]","[0.14799144864082336, 0.21554973721504211, 0.13254733383655548, 0.06758245825767517, 0.08874440938234329]",18.16646432876587
single,5,"[0.05828053876757622, 0.03168513625860214, 0.03407561779022217, 0.022343454882502556, 0.02173493430018425]","[0.01950540579855442, 0.030055411159992218, 0.011897919699549675, 0.011163614690303802, 0.0075858961790800095]","[0.18860778212547302, 0.13680218160152435, 0.1483754813671112, 0.1191907450556755, 0.12008825689554214]","[0.12904663383960724, 0.1640375554561615, 0.09432549774646759, 0.08993972837924957, 0.07182781398296356]",18.63414216041565
single,6,"[0.06206817924976349, 0.03641565889120102, 0.024207517504692078, 0.026891864836215973, 0.018891695886850357]","[0.04078930988907814, 0.03785581514239311, 0.01136800553649664, 0.018384329974651337, 0.01496074814349413]","[0.19727566838264465, 0.15983204543590546, 0.13013014197349548, 0.13580070436000824, 0.11196104437112808]","[0.19535298645496368, 0.18739698827266693, 0.09387718886137009, 0.1261882781982422, 0.11206896603107452]",18.129833221435547
single,7,"[0.07087723910808563, 0.03534543886780739, 0.03317442536354065, 0.02924606017768383, 0.023908060044050217]","[0.03892282769083977, 0.05184473097324371, 0.00852940697222948, 0.005517890211194754, 0.00788908638060093]","[0.2207089513540268, 0.1561773121356964, 0.14878100156784058, 0.14073683321475983, 0.12135840952396393]","[0.18932469189167023, 0.22019009292125702, 0.07526666671037674, 0.05734802037477493, 0.07253594696521759]",18.902989625930786
single,8,"[0.06714043021202087, 0.03243991360068321, 0.03076533041894436, 0.03424523025751114, 0.01905771717429161]","[0.012054133228957653, 0.012230164371430874, 0.010614627972245216, 0.03227512538433075, 0.013860870152711868]","[0.20163895189762115, 0.1452932506799698, 0.141199991106987, 0.14526326954364777, 0.1104678213596344]","[0.09812796860933304, 0.09930549561977386, 0.09152397513389587, 0.17292462289333344, 0.10771846026182175]",18.409804582595825
single,9,"[0.04902587831020355, 0.030431417748332024, 0.02826220542192459, 0.025730673223733902, 0.021796993911266327]","[0.016952667385339737, 0.009360660798847675, 0.004640067927539349, 0.008287971839308739, 0.013659884221851826]","[0.18110643327236176, 0.1388557255268097, 0.13209182024002075, 0.13038712739944458, 0.11863308399915695]","[0.1197948157787323, 0.08310402929782867, 0.053400374948978424, 0.07660599052906036, 0.10496103018522263]",18.9461567401886
