mode,#try,loss,val_loss,mae,val_mae,train_time
single,0,"[0.03593260049819946, 0.022195210680365562, 0.017285453155636787, 0.01387644000351429, 0.013780093751847744, 0.012139805592596531, 0.016457201912999153, 0.011234991252422333, 0.010278803296387196, 0.010843806900084019]","[0.006584043148905039, 0.010901507921516895, 0.009304139763116837, 0.014583153650164604, 0.006733006332069635, 0.005560622550547123, 0.005278516095131636, 0.003487906651571393, 0.008565256372094154, 0.005297202616930008]","[0.14049720764160156, 0.11857044696807861, 0.10568489879369736, 0.09056020528078079, 0.09379300475120544, 0.09181880950927734, 0.09960881620645523, 0.08449766039848328, 0.08317533135414124, 0.08381354063749313]","[0.06612832099199295, 0.09017975628376007, 0.0817907452583313, 0.10759099572896957, 0.06755197793245316, 0.06075799837708473, 0.06021697819232941, 0.04597071185708046, 0.07708921283483505, 0.06289900094270706]",60.00220441818237
single,1,"[0.03802042827010155, 0.01595456525683403, 0.018516572192311287, 0.016010381281375885, 0.014253448694944382, 0.013203397393226624, 0.013451782986521721, 0.013399188406765461, 0.013218267820775509, 0.01198425330221653]","[0.022324327379465103, 0.016727536916732788, 0.03754030913114548, 0.010315378196537495, 0.007695762440562248, 0.027355531230568886, 0.014747359789907932, 0.010821904987096786, 0.003691596444696188, 0.005065799690783024]","[0.15788622200489044, 0.09906866401433945, 0.11132775247097015, 0.10469021648168564, 0.09596295654773712, 0.09398741275072098, 0.09486115723848343, 0.09302162379026413, 0.09241529554128647, 0.0868169516324997]","[0.13915270566940308, 0.11755108833312988, 0.185332253575325, 0.08659034222364426, 0.07285959273576736, 0.15475668013095856, 0.10710417479276657, 0.08790766447782516, 0.05126120150089264, 0.060780055820941925]",64.51378297805786
single,2,"[0.04008970037102699, 0.023075757548213005, 0.017239023000001907, 0.016706623136997223, 0.01436083484441042, 0.014621022157371044, 0.014103717170655727, 0.012971851974725723, 0.012364724650979042, 0.012163684703409672]","[0.028068022802472115, 0.012959010899066925, 0.018300417810678482, 0.01581432856619358, 0.006824450101703405, 0.01679956167936325, 0.006752522196620703, 0.007962247356772423, 0.00652738194912672, 0.007576648611575365]","[0.1542641669511795, 0.1205623671412468, 0.10523976385593414, 0.1076507493853569, 0.09690604358911514, 0.10030267387628555, 0.09649665653705597, 0.09192536771297455, 0.08823534846305847, 0.09044241160154343]","[0.15829496085643768, 0.09915895760059357, 0.1214134469628334, 0.11048471182584763, 0.06717758625745773, 0.11559411883354187, 0.0669451504945755, 0.07371855527162552, 0.06809455901384354, 0.07264568656682968]",57.081860303878784
single,3,"[0.030870936810970306, 0.0209377259016037, 0.016515299677848816, 0.01608801819384098, 0.014790046960115433, 0.012275037355720997, 0.01253439113497734, 0.01296777743846178, 0.013374663889408112, 0.013330436311662197]","[0.005585327744483948, 0.005597280338406563, 0.009300447069108486, 0.00896517839282751, 0.013698081485927105, 0.015586698427796364, 0.0065363007597625256, 0.008622588589787483, 0.0035718362778425217, 0.0038235331885516644]","[0.13837070763111115, 0.1159186139702797, 0.10622457414865494, 0.10331765562295914, 0.09537005424499512, 0.08855876326560974, 0.09310806542634964, 0.09356250613927841, 0.0916246622800827, 0.09421975910663605]","[0.05945233628153801, 0.0597514882683754, 0.08129797875881195, 0.07961557060480118, 0.10300774872303009, 0.1106732115149498, 0.066484235227108, 0.07690910995006561, 0.04867114871740341, 0.05092199146747589]",64.71708869934082
single,4,"[0.03769470378756523, 0.023332504555583, 0.01521113608032465, 0.017631487920880318, 0.015923339873552322, 0.011374768801033497, 0.012774609960615635, 0.013351242989301682, 0.013379685580730438, 0.011449354700744152]","[0.022730333730578423, 0.02001935988664627, 0.02103498950600624, 0.03186638280749321, 0.011041991412639618, 0.006847758311778307, 0.0031316946260631084, 0.006090096663683653, 0.003404522081837058, 0.004055893048644066]","[0.1506541222333908, 0.1261022984981537, 0.10108967125415802, 0.10885592550039291, 0.10331140458583832, 0.08498148620128632, 0.0931851714849472, 0.0925881490111351, 0.09358076006174088, 0.08631043881177902]","[0.14053818583488464, 0.13002541661262512, 0.1330789178609848, 0.16845768690109253, 0.08968343585729599, 0.06846035271883011, 0.043587956577539444, 0.06475645303726196, 0.04830726608633995, 0.053291913121938705]",56.688825368881226
single,5,"[0.03813264146447182, 0.020361237227916718, 0.020863832905888557, 0.015447339043021202, 0.013327970169484615, 0.017322976142168045, 0.013337296433746815, 0.013077092356979847, 0.012964918278157711, 0.012509740889072418]","[0.00717390701174736, 0.004274075850844383, 0.006192316301167011, 0.0032347815576940775, 0.007183816283941269, 0.008472321555018425, 0.006196397356688976, 0.0038871783763170242, 0.02117597684264183, 0.005772903095930815]","[0.1517360955476761, 0.11437896639108658, 0.11352057754993439, 0.1011306643486023, 0.09140541404485703, 0.10863617062568665, 0.09519902616739273, 0.08808483183383942, 0.09273461252450943, 0.09030438959598541]","[0.06903976202011108, 0.049599066376686096, 0.06386207789182663, 0.04586198925971985, 0.06960097700357437, 0.07667981833219528, 0.06453396379947662, 0.0521131232380867, 0.13333871960639954, 0.06261279433965683]",56.78671717643738
single,6,"[0.029815440997481346, 0.02153138443827629, 0.013938914984464645, 0.015500209294259548, 0.013971352018415928, 0.012275153771042824, 0.013122901320457458, 0.012327710166573524, 0.012271841056644917, 0.01101418025791645]","[0.006152809131890535, 0.007512236479669809, 0.024340098723769188, 0.01506119966506958, 0.01275082677602768, 0.008079051971435547, 0.02123706415295601, 0.012645051814615726, 0.0067774453200399876, 0.004980919882655144]","[0.13666576147079468, 0.11718281358480453, 0.09597060829401016, 0.10372721403837204, 0.09655477851629257, 0.089753657579422, 0.091053307056427, 0.09273400902748108, 0.08971365541219711, 0.0894380733370781]","[0.06333953887224197, 0.07216216623783112, 0.14524990320205688, 0.10844577848911285, 0.09751753509044647, 0.0751715749502182, 0.13449719548225403, 0.09725379198789597, 0.06911601126194, 0.06065361946821213]",57.350075006484985
single,7,"[0.04253316670656204, 0.02252940461039543, 0.019311094656586647, 0.014840585179626942, 0.014260332100093365, 0.0141786839812994, 0.015697943046689034, 0.014679614454507828, 0.011539637111127377, 0.010250242426991463]","[0.03474649414420128, 0.014372613281011581, 0.028956014662981033, 0.006620496977120638, 0.019413411617279053, 0.009290484711527824, 0.0036983094178140163, 0.0066214087419211864, 0.005947154480963945, 0.003683677176013589]","[0.16686996817588806, 0.12294311076402664, 0.1140771135687828, 0.09758087247610092, 0.09540076553821564, 0.09392186999320984, 0.10146543383598328, 0.09463966637849808, 0.08870037645101547, 0.08080976456403732]","[0.17915035784244537, 0.10956992208957672, 0.16185782849788666, 0.06653600186109543, 0.12763595581054688, 0.08138106018304825, 0.05074995011091232, 0.06744460761547089, 0.06576007604598999, 0.05042938143014908]",55.79040789604187
single,8,"[0.0415891595184803, 0.02138879895210266, 0.022777490317821503, 0.013470185920596123, 0.014396609738469124, 0.015182234346866608, 0.013692385517060757, 0.011319364421069622, 0.010557152330875397, 0.011704068630933762]","[0.009648739360272884, 0.01806427724659443, 0.00842864066362381, 0.004488673526793718, 0.00785693246871233, 0.009731907397508621, 0.010656020604074001, 0.007599316071718931, 0.005714805796742439, 0.007595786824822426]","[0.16081736981868744, 0.11689253896474838, 0.12315545231103897, 0.09148924052715302, 0.0924634113907814, 0.1016356348991394, 0.09298364073038101, 0.08788980543613434, 0.08748158067464828, 0.09121592342853546]","[0.08302176743745804, 0.12254621088504791, 0.07705117762088776, 0.05348918214440346, 0.0738130584359169, 0.08360963314771652, 0.087621308863163, 0.0716833546757698, 0.06336424499750137, 0.07326823472976685]",59.987781286239624
single,9,"[0.03338662534952164, 0.01946369931101799, 0.018155839294195175, 0.016359757632017136, 0.01461953204125166, 0.01459899079054594, 0.015107075683772564, 0.012251514941453934, 0.012915537692606449, 0.014769934117794037]","[0.022231297567486763, 0.03073161095380783, 0.020743602886795998, 0.00875827670097351, 0.0030166846700012684, 0.005677788984030485, 0.006151602603495121, 0.006849575322121382, 0.012180966325104237, 0.0032206480391323566]","[0.14584800601005554, 0.10978927463293076, 0.10819129645824432, 0.10338255017995834, 0.0999937653541565, 0.09954340755939484, 0.09920930117368698, 0.08733484148979187, 0.0908840000629425, 0.10001641511917114]","[0.13841821253299713, 0.16551461815834045, 0.13125720620155334, 0.07876088470220566, 0.04193216934800148, 0.06256906688213348, 0.06722193211317062, 0.0685606524348259, 0.09511791169643402, 0.04580402374267578]",64.89371848106384
single,10,"[0.03329453989863396, 0.021148478612303734, 0.016179054975509644, 0.01462340634316206, 0.017594926059246063, 0.014187031425535679, 0.015163317322731018, 0.012982458807528019, 0.01175427995622158, 0.012041355483233929]","[0.024732811376452446, 0.02706044539809227, 0.015758035704493523, 0.00432244036346674, 0.010816488415002823, 0.007770683616399765, 0.01246583741158247, 0.006283140741288662, 0.00372642301954329, 0.006740867625921965]","[0.14303314685821533, 0.11505474150180817, 0.10515575855970383, 0.09763510525226593, 0.10406655073165894, 0.09843271970748901, 0.10423952341079712, 0.09430350363254547, 0.09013548493385315, 0.08728832006454468]","[0.14704233407974243, 0.15472334623336792, 0.11268449574708939, 0.05159389227628708, 0.08902134001255035, 0.07304292917251587, 0.09584090858697891, 0.06607753783464432, 0.05018908903002739, 0.07048602402210236]",60.272440671920776
single,11,"[0.03982912749052048, 0.018003277480602264, 0.016615282744169235, 0.015537072904407978, 0.01590229943394661, 0.012730380520224571, 0.012640404514968395, 0.01602875255048275, 0.012255113571882248, 0.011251109652221203]","[0.011448772624135017, 0.010485898703336716, 0.007378916721791029, 0.0032112200278788805, 0.00998129602521658, 0.010934051126241684, 0.008201207965612411, 0.006000594235956669, 0.008787745609879494, 0.011999916285276413]","[0.15720362961292267, 0.11069750040769577, 0.10726389288902283, 0.10305055975914001, 0.10097654908895493, 0.09271643310785294, 0.09482401609420776, 0.10310038179159164, 0.09098498523235321, 0.08442047238349915]","[0.0930018201470375, 0.08750051259994507, 0.07143623381853104, 0.04343213140964508, 0.08490955084562302, 0.08939354866743088, 0.07582070678472519, 0.06711004674434662, 0.08001624792814255, 0.09317421913146973]",56.95622539520264
