mode,#try,loss,val_loss,mae,val_mae,train_time
single,0,"[0.05601806938648224, 0.022103777155280113, 0.01701563410460949, 0.01702437549829483, 0.017360812053084373, 0.013143878430128098, 0.014108126983046532, 0.01318676769733429, 0.013102221302688122, 0.010720135644078255]","[0.021422259509563446, 0.008851700462400913, 0.005993154365569353, 0.0029810164123773575, 0.007539546582847834, 0.007991164922714233, 0.010351148433983326, 0.01515396311879158, 0.00581699563190341, 0.008477103896439075]","[0.17613092064857483, 0.12101942300796509, 0.10523516684770584, 0.10674043744802475, 0.10490041226148605, 0.09489574283361435, 0.09779131412506104, 0.08925651758909225, 0.09590880572795868, 0.08484801650047302]","[0.13713037967681885, 0.0797925665974617, 0.0629507452249527, 0.041471246629953384, 0.07225100696086884, 0.07442886382341385, 0.08690281212329865, 0.10944383591413498, 0.06336738914251328, 0.07661406695842743]",49.85855507850647
single,1,"[0.0388423353433609, 0.018731815740466118, 0.013910450041294098, 0.01746426895260811, 0.01633957214653492, 0.014183876104652882, 0.013424036093056202, 0.012834868393838406, 0.014084885828197002, 0.011290282942354679]","[0.009617018513381481, 0.021097742021083832, 0.004439822398126125, 0.011213811114430428, 0.007951001636683941, 0.029993176460266113, 0.010283519513905048, 0.007417216897010803, 0.006355425342917442, 0.004711862653493881]","[0.1578907072544098, 0.11037509888410568, 0.0934964269399643, 0.11093723028898239, 0.10164420306682587, 0.09941437095403671, 0.09156536310911179, 0.09041202813386917, 0.08987478166818619, 0.08427339792251587]","[0.08285004645586014, 0.1335417479276657, 0.051105234771966934, 0.09058386087417603, 0.07416809350252151, 0.16253773868083954, 0.08558670431375504, 0.07328138500452042, 0.06771031767129898, 0.058443713933229446]",48.0591926574707
single,2,"[0.05321687087416649, 0.020993856713175774, 0.016575291752815247, 0.017157776281237602, 0.017256567254662514, 0.01448892243206501, 0.014078142121434212, 0.012461559846997261, 0.014960209839046001, 0.015000886283814907]","[0.026132239028811455, 0.01120217889547348, 0.03265657275915146, 0.012666037306189537, 0.013551085256040096, 0.013257616199553013, 0.008567781187593937, 0.02109023556113243, 0.020541515201330185, 0.008076461963355541]","[0.17694224417209625, 0.11688126623630524, 0.10779991745948792, 0.10678933560848236, 0.10683010518550873, 0.09630682319402695, 0.09307539463043213, 0.0906367376446724, 0.09647389501333237, 0.10270475596189499]","[0.15215973556041718, 0.08977628499269485, 0.17025640606880188, 0.09661145508289337, 0.1008250042796135, 0.10003471374511719, 0.07764988392591476, 0.13248077034950256, 0.13163799047470093, 0.07650654762983322]",47.43715047836304
single,3,"[0.036219917237758636, 0.017830433323979378, 0.01803887076675892, 0.020237620919942856, 0.01608520932495594, 0.012894436717033386, 0.012462736107409, 0.01184189785271883, 0.011264020577073097, 0.013921118341386318]","[0.016491664573550224, 0.003475470934063196, 0.019489292055368423, 0.01498748641461134, 0.009254931472241879, 0.012405164539813995, 0.016810758039355278, 0.0051366593688726425, 0.005504615139216185, 0.0034378552809357643]","[0.1484401971101761, 0.1093699187040329, 0.10624051839113235, 0.11276615411043167, 0.10443748533725739, 0.09199003875255585, 0.08991947770118713, 0.08983784168958664, 0.0858328714966774, 0.09718545526266098]","[0.11600559204816818, 0.049627192318439484, 0.1271333247423172, 0.10901542007923126, 0.08127050846815109, 0.09620997309684753, 0.11602459847927094, 0.05935633182525635, 0.062964528799057, 0.046743594110012054]",50.5370032787323
single,4,"[0.03806798532605171, 0.02247711457312107, 0.020605754107236862, 0.014275381341576576, 0.017895253375172615, 0.013695361092686653, 0.013187767006456852, 0.015981514006853104, 0.014424337074160576, 0.009591914713382721]","[0.029992600902915, 0.004261472728103399, 0.010892640799283981, 0.014325154013931751, 0.0103981364518404, 0.012322009541094303, 0.011456495150923729, 0.0156601220369339, 0.011577440425753593, 0.0061330064199864864]","[0.15761281549930573, 0.11525516957044601, 0.11451013386249542, 0.09406882524490356, 0.10879363119602203, 0.09311015158891678, 0.09564869105815887, 0.10423104465007782, 0.09914208948612213, 0.07782374322414398]","[0.16492913663387299, 0.05027025192975998, 0.0893414318561554, 0.10581303387880325, 0.08719091862440109, 0.09647849202156067, 0.0918881744146347, 0.11044662445783615, 0.09192711859941483, 0.06868667155504227]",47.41097927093506
single,5,"[0.033690910786390305, 0.0196160189807415, 0.016767682507634163, 0.02141539566218853, 0.01429939828813076, 0.012445272877812386, 0.012178457342088223, 0.012764662504196167, 0.01311067957431078, 0.012758636847138405]","[0.013304530642926693, 0.025482123717665672, 0.008576416410505772, 0.017550986260175705, 0.005253226961940527, 0.007596250157803297, 0.015045754611492157, 0.012114093638956547, 0.009732096455991268, 0.008173358626663685]","[0.14478635787963867, 0.11233077198266983, 0.10353042930364609, 0.119747094810009, 0.09548991918563843, 0.08806219696998596, 0.09021694213151932, 0.09077586233615875, 0.08917705714702606, 0.08997993916273117]","[0.10111093521118164, 0.1486608386039734, 0.07741700857877731, 0.11920953541994095, 0.061017438769340515, 0.07159050554037094, 0.10697663575410843, 0.09400192648172379, 0.08278951793909073, 0.07568524777889252]",48.886993408203125
single,6,"[0.0310260821133852, 0.01937936618924141, 0.018964702263474464, 0.017647037282586098, 0.013673669658601284, 0.0110643170773983, 0.01340590137988329, 0.01114791538566351, 0.01326943188905716, 0.011049773544073105]","[0.020605389028787613, 0.014538179151713848, 0.008497543632984161, 0.0030166259966790676, 0.01933668740093708, 0.004140856675803661, 0.016340089961886406, 0.008966267108917236, 0.007135396357625723, 0.008697924204170704]","[0.13661596179008484, 0.1111125573515892, 0.10856379568576813, 0.10976042598485947, 0.09267958253622055, 0.08781327307224274, 0.09458189457654953, 0.08936633169651031, 0.09657342731952667, 0.08576883375644684]","[0.13445661962032318, 0.10946057736873627, 0.07730655372142792, 0.04307008162140846, 0.12857960164546967, 0.052779704332351685, 0.11531226336956024, 0.08011354506015778, 0.07036640495061874, 0.07807976752519608]",49.0018355846405
single,7,"[0.05090418830513954, 0.02041599340736866, 0.017982151359319687, 0.01601088047027588, 0.013313650153577328, 0.01666683703660965, 0.013288957066833973, 0.012608271092176437, 0.009850047528743744, 0.01138764712959528]","[0.03897199034690857, 0.007735991384834051, 0.012542296200990677, 0.010981223545968533, 0.004747485276311636, 0.0032384179066866636, 0.007136530242860317, 0.007372393272817135, 0.01173423882573843, 0.006578669883310795]","[0.17719925940036774, 0.11366231739521027, 0.10739994049072266, 0.10654594749212265, 0.09353204816579819, 0.10754671692848206, 0.09243810921907425, 0.09252037107944489, 0.07900959253311157, 0.0837155282497406]","[0.18944810330867767, 0.07248099148273468, 0.09753058850765228, 0.08969005942344666, 0.05593208223581314, 0.04373655095696449, 0.06956140697002411, 0.07085447758436203, 0.091664619743824, 0.07198869436979294]",49.62922167778015
single,8,"[0.03304361179471016, 0.02034251019358635, 0.019546639174222946, 0.0122909527271986, 0.01399901881814003, 0.014334862120449543, 0.014985250309109688, 0.012195642106235027, 0.010544348508119583, 0.010919218882918358]","[0.027605656534433365, 0.019420195370912552, 0.015283506363630295, 0.009282559156417847, 0.007183095905929804, 0.003229169175028801, 0.010175068862736225, 0.0034349909983575344, 0.003442699322476983, 0.007506077643483877]","[0.1452607363462448, 0.1164916530251503, 0.11313564330339432, 0.08928339183330536, 0.09622757881879807, 0.10101988166570663, 0.09608689695596695, 0.08697603642940521, 0.08542518317699432, 0.08614414930343628]","[0.15685950219631195, 0.12687812745571136, 0.10931584239006042, 0.08122707903385162, 0.06984896212816238, 0.04300210624933243, 0.08564350754022598, 0.046084001660346985, 0.046067580580711365, 0.07150202989578247]",46.76280379295349
single,9,"[0.037986304610967636, 0.02176148258149624, 0.019715869799256325, 0.01635662466287613, 0.01630963571369648, 0.014947309158742428, 0.01528986357152462, 0.01316147018224001, 0.012964088469743729, 0.01218861062079668]","[0.022338243201375008, 0.020194848999381065, 0.020425070077180862, 0.018054140731692314, 0.004678314086049795, 0.018274817615747452, 0.012710072100162506, 0.011081285774707794, 0.004009706899523735, 0.012827510014176369]","[0.15019072592258453, 0.11609683185815811, 0.11335203051567078, 0.10284177958965302, 0.104381263256073, 0.09854398667812347, 0.09883797913789749, 0.09452789276838303, 0.0945424810051918, 0.09047024697065353]","[0.13997432589530945, 0.13130034506320953, 0.13224200904369354, 0.12192337214946747, 0.05482543632388115, 0.12228899449110031, 0.09836850315332413, 0.09031423926353455, 0.04775073379278183, 0.09903493523597717]",47.7037570476532
