Close,Compound,Predicted,Difference,% Diff,Volume,Daily Lag,Predicted Daily Lag,Daily Returns,Predicted Daily Returns,Predicted Daily Return Percentage Diff,Adj Close,MA-3,MA-5,MA-10,,
271.71,0.120248241,247.29,24.42,8.99%,142032300,,247.5,,,,271.706665,,,,,-0.21
272.24,0.194502439,253.76,18.48,6.79%,103472700,271.706665,247.28677,0.00198,0.02619,1226.01%,272.2433472,,,,,6.47
268.43,0.22225119,262.67,5.76,2.15%,64073400,272.2433472,253.76361,-0.01399,0.0351,350.82%,268.4333191,270.7944438,,,,8.91
258.86,0.085757895,270.37,11.51,4.45%,66820800,268.4333191,262.67126,-0.03566,0.02932,182.22%,258.8599854,266.5122172,,,,7.70
274.82,0.13307619,271.85,2.97,1.08%,88110000,258.8599854,270.37396,0.06166,0.00546,91.15%,274.8200073,267.3711039,269.2126648,,,1.48
280.9,0.25898022,274.58,6.32,2.25%,84723000,274.8200073,271.84918,0.02212,0.01004,54.63%,280.8999939,271.5266622,271.0513306,,,2.73
297.15,0.187413208,280.13,17.02,5.73%,95313000,280.8999939,274.57803,0.05785,0.02023,65.04%,297.1499939,284.2899984,276.0326599,,,5.55
297.28,0.151537634,287.28,10,3.36%,117042900,297.1499939,280.13193,0.00043,0.02551,5883.97%,297.2766724,291.7755534,281.8013306,,,7.15
300.59,0.244550575,293.25,7.34,2.44%,95577600,297.2766724,287.2782,0.01113,0.02077,86.57%,300.5866699,298.3377787,290.1466675,,,5.97
307.4,0.204912088,299.81,7.59,2.47%,80091000,300.5866699,293.24597,0.02266,0.02239,1.17%,307.3966675,301.7533366,296.6619995,282.9373322,,6.56
308.63,0.142964072,305.5,3.13,1.02%,72256200,307.3966675,299.8116,0.00402,0.01897,371.55%,308.6333313,305.5388896,302.208667,286.6299988,,5.69
288.17,0.194631973,308.8,20.63,7.16%,113172900,308.6333313,305.49924,-0.0663,0.01079,116.27%,288.1700134,301.4000041,300.4126709,288.2226654,,3.30
290.42,0.169214141,307.28,16.85,5.80%,98994000,288.1700134,308.79514,0.00782,-0.00492,162.95%,290.4233398,295.7422282,299.0420044,290.4216675,,-1.52
283.33,0.088886792,303.79,20.46,7.22%,86244600,290.4233398,307.27505,-0.02441,-0.01135,53.52%,283.3333435,287.3088989,295.5913391,292.8690033,,-3.49
