#epoch,#units,#try,loss,val_loss,mae,val_mae,train_time
5,16,0,"[0.05111732706427574, 0.030563071370124817, 0.027832282707095146, 0.02389729954302311, 0.02256622351706028]","[0.015245840884745121, 0.01785900630056858, 0.01912941038608551, 0.039521414786577225, 0.008352360688149929]","[0.18262505531311035, 0.14082014560699463, 0.13258254528045654, 0.12580394744873047, 0.12041700631380081]","[0.11295899748802185, 0.12404966354370117, 0.12907418608665466, 0.1924319565296173, 0.07750029116868973]",32.54336142539978
5,16,1,"[0.038034822791814804, 0.026005160063505173, 0.02263597771525383, 0.027119018137454987, 0.02143643982708454]","[0.039596863090991974, 0.00286392355337739, 0.01767151430249214, 0.014003561809659004, 0.01716853678226471]","[0.15608178079128265, 0.12609289586544037, 0.11620065569877625, 0.1324748992919922, 0.1155197024345398]","[0.192275270819664, 0.03886087238788605, 0.12240956723690033, 0.10611070692539215, 0.11960120499134064]",33.69506335258484
5,16,2,"[0.0654643252491951, 0.03534707427024841, 0.029111413285136223, 0.024181095883250237, 0.02288052812218666]","[0.02165716327726841, 0.05199940502643585, 0.014059310778975487, 0.01829596608877182, 0.01507621817290783]","[0.1970217376947403, 0.1575847864151001, 0.1399381160736084, 0.12393321841955185, 0.11902689188718796]","[0.1376742124557495, 0.22147096693515778, 0.10610508173704147, 0.1236649602651596, 0.10957879573106766]",33.591371059417725
5,16,3,"[0.05482163652777672, 0.033968206495046616, 0.02934219129383564, 0.023667380213737488, 0.02724258415400982]","[0.016573593020439148, 0.014425491914153099, 0.01412807684391737, 0.022508904337882996, 0.017674939706921577]","[0.18851374089717865, 0.14670075476169586, 0.13803166151046753, 0.12759070098400116, 0.13218006491661072]","[0.11738885939121246, 0.10751963406801224, 0.10630156844854355, 0.1399346888065338, 0.12144062668085098]",33.701316356658936
5,16,4,"[0.05062812194228172, 0.03445752337574959, 0.02472648210823536, 0.023938804864883423, 0.021927963942289352]","[0.019815068691968918, 0.007140699774026871, 0.00930042751133442, 0.009104394353926182, 0.008847739547491074]","[0.18133339285850525, 0.15215088427066803, 0.1255410611629486, 0.12198130786418915, 0.1193850189447403]","[0.12945792078971863, 0.06793715059757233, 0.07991848886013031, 0.07895641773939133, 0.07778959721326828]",37.79634356498718
5,32,0,"[0.05992807075381279, 0.02826021797955036, 0.025938617065548897, 0.0212685726583004, 0.01763676106929779]","[0.009452185593545437, 0.013787253759801388, 0.03484039008617401, 0.03484875708818436, 0.018692361190915108]","[0.19550588726997375, 0.13061916828155518, 0.1270126849412918, 0.11336518824100494, 0.10531888902187347]","[0.08321324735879898, 0.1048068106174469, 0.1783296912908554, 0.1777137815952301, 0.1240246444940567]",33.67705464363098
5,32,1,"[0.05939459428191185, 0.024124177172780037, 0.01940475031733513, 0.018780171871185303, 0.01809726655483246]","[0.015750987455248833, 0.0110117606818676, 0.02085491269826889, 0.009545343928039074, 0.012857665307819843]","[0.18467862904071808, 0.12290897220373154, 0.10913054645061493, 0.10867782682180405, 0.10937345772981644]","[0.11440150439739227, 0.09090425819158554, 0.13338913023471832, 0.08217218518257141, 0.09799496829509735]",34.02398490905762
5,32,2,"[0.04007473587989807, 0.025806138291954994, 0.021477656438946724, 0.019006749615073204, 0.01523246057331562]","[0.004879722837358713, 0.011268895119428635, 0.0053939507342875, 0.007976837456226349, 0.008586808107793331]","[0.1597750186920166, 0.13139894604682922, 0.11736837774515152, 0.11183025687932968, 0.09828609973192215]","[0.05478744953870773, 0.09305396676063538, 0.05881434306502342, 0.07465929538011551, 0.07733450084924698]",32.60039663314819
5,32,3,"[0.050927456468343735, 0.023993978276848793, 0.019529741257429123, 0.01878974959254265, 0.02028919942677021]","[0.015744488686323166, 0.016374196857213974, 0.00863773562014103, 0.01815119944512844, 0.017331548035144806]","[0.17186453938484192, 0.12120281159877777, 0.10955436527729034, 0.11153266578912735, 0.11130721122026443]","[0.11499415338039398, 0.11716900765895844, 0.0782371461391449, 0.12344937026500702, 0.11925235390663147]",40.41189694404602
5,32,4,"[0.052228204905986786, 0.027574138715863228, 0.021450355648994446, 0.017298467457294464, 0.020491397008299828]","[0.005918133072555065, 0.01285152044147253, 0.019093377515673637, 0.008565463125705719, 0.010655502788722515]","[0.17875899374485016, 0.13134203851222992, 0.11527586728334427, 0.10563690215349197, 0.11967815458774567]","[0.06103011593222618, 0.10005860775709152, 0.12646909058094025, 0.07659158855676651, 0.08764097094535828]",42.39313840866089
10,16,0,"[0.09342025965452194, 0.034149061888456345, 0.03309009224176407, 0.02623373456299305, 0.021956512704491615, 0.022813796997070312, 0.016629818826913834, 0.019459865987300873, 0.01686100661754608, 0.014276853762567043]","[0.037132326513528824, 0.037198733538389206, 0.023878537118434906, 0.023083414882421494, 0.017019333317875862, 0.016645221039652824, 0.013964342884719372, 0.015911292284727097, 0.02649907022714615, 0.005434746854007244]","[0.23773348331451416, 0.14880652725696564, 0.1465153843164444, 0.1322912871837616, 0.11875911802053452, 0.12250221520662308, 0.10245241969823837, 0.11388518661260605, 0.10549037158489227, 0.09435013681650162]","[0.1861581653356552, 0.18607288599014282, 0.14588595926761627, 0.1428598314523697, 0.11940212547779083, 0.11746109277009964, 0.10561519116163254, 0.11381778120994568, 0.15328402817249298, 0.05842457711696625]",65.06017303466797
10,16,1,"[0.05251386761665344, 0.03275270015001297, 0.02378714829683304, 0.030337434262037277, 0.021255066618323326, 0.019808989018201828, 0.01771528273820877, 0.017520496621727943, 0.01924349181354046, 0.01707768253982067]","[0.03689657524228096, 0.01071183942258358, 0.01118585467338562, 0.018339747563004494, 0.010559876449406147, 0.005906319711357355, 0.004847749136388302, 0.015604211017489433, 0.005004153586924076, 0.012183484621345997]","[0.18839530646800995, 0.14676038920879364, 0.12241825461387634, 0.1327609270811081, 0.11686409264802933, 0.11351834982633591, 0.104701928794384, 0.10183856636285782, 0.10280228406190872, 0.10357924550771713]","[0.18411315977573395, 0.08877884596586227, 0.09126387536525726, 0.12375608086585999, 0.08743112534284592, 0.061483509838581085, 0.053652167320251465, 0.11019871383905411, 0.05434062331914902, 0.09450589120388031]",67.40778803825378
10,16,2,"[0.06413668394088745, 0.030986497178673744, 0.02509860321879387, 0.022425223141908646, 0.02312917821109295, 0.01962382346391678, 0.017443979158997536, 0.01801837980747223, 0.013698556460440159, 0.01618899405002594]","[0.027586359530687332, 0.027368741109967232, 0.012827999889850616, 0.022035252302885056, 0.0077174208126962185, 0.011516296304762363, 0.009988170117139816, 0.0074497670866549015, 0.008520830422639847, 0.007737346924841404]","[0.1973748803138733, 0.14201319217681885, 0.12823478877544403, 0.1209646612405777, 0.12220798432826996, 0.10775614529848099, 0.10391959547996521, 0.10767985880374908, 0.09910250455141068, 0.10255531221628189]","[0.15848778188228607, 0.15766969323158264, 0.10153219848871231, 0.13917458057403564, 0.07284674793481827, 0.09317062050104141, 0.08532971143722534, 0.0715889185667038, 0.07746075093746185, 0.07303957641124725]",58.65124797821045
