#neuron,#try,loss,val_loss,mae,val_mae,train_time
5,0,"[0.07084408402442932, 0.038704995065927505, 0.029314126819372177, 0.026016930118203163, 0.024325789883732796, 0.01805569976568222, 0.021069234237074852, 0.017763514071702957, 0.017857950180768967, 0.01732054352760315]","[0.04807831346988678, 0.01973430998623371, 0.006141506601125002, 0.014328927733004093, 0.018597198650240898, 0.018201332539319992, 0.010447673499584198, 0.012056082487106323, 0.009969521313905716, 0.008030946366488934]","[0.21587058901786804, 0.16141700744628906, 0.13781283795833588, 0.13084034621715546, 0.1269110143184662, 0.10724332928657532, 0.11351680755615234, 0.10877334326505661, 0.11054973304271698, 0.10654900223016739]","[0.21300551295280457, 0.13088150322437286, 0.06304644048213959, 0.10827904939651489, 0.1264859437942505, 0.12457769364118576, 0.08831707388162613, 0.09612178057432175, 0.08521461486816406, 0.07500558346509933]",57.31463694572449
10,0,"[0.07327588647603989, 0.02707807719707489, 0.020218444988131523, 0.017527256160974503, 0.02192261815071106, 0.017507825046777725, 0.017373453825712204, 0.01478160172700882, 0.014459889382123947, 0.013411715626716614]","[0.019892962649464607, 0.013961385004222393, 0.017761018127202988, 0.014998409897089005, 0.017446916550397873, 0.01159218791872263, 0.0071982392109930515, 0.00432161008939147, 0.018134498968720436, 0.0034288184251636267]","[0.199452742934227, 0.1296122521162033, 0.11625875532627106, 0.1051812469959259, 0.1206301748752594, 0.10781613737344742, 0.11170440167188644, 0.09794890880584717, 0.09647560119628906, 0.09201359748840332]","[0.13118019700050354, 0.10623590648174286, 0.12236231565475464, 0.11012167483568192, 0.12043797224760056, 0.09339378029108047, 0.07118633389472961, 0.05393858253955841, 0.12271562963724136, 0.04491895064711571]",47.87326765060425
20,0,"[0.039199408143758774, 0.02175072208046913, 0.018758857622742653, 0.014803716912865639, 0.016684256494045258, 0.014211481437087059, 0.013331914320588112, 0.009102858603000641, 0.012115826830267906, 0.012720688246190548]","[0.020049873739480972, 0.005737761966884136, 0.01220967248082161, 0.010023741982877254, 0.010529455728828907, 0.0066711087711155415, 0.008399156853556633, 0.0031183178070932627, 0.010482674464583397, 0.0033374850172549486]","[0.14981751143932343, 0.12105654925107956, 0.10883978754281998, 0.10032910853624344, 0.10527104884386063, 0.09682291001081467, 0.09648191183805466, 0.08014746755361557, 0.09141593426465988, 0.08756428956985474]","[0.1310543715953827, 0.06084854155778885, 0.09681103378534317, 0.08590232580900192, 0.08807698637247086, 0.06722515821456909, 0.07712218910455704, 0.045186758041381836, 0.0872945711016655, 0.046888239681720734]",51.3621289730072
30,0,"[0.029870977625250816, 0.02041962556540966, 0.01789657212793827, 0.01438024640083313, 0.012988248839974403, 0.011635669507086277, 0.012400340288877487, 0.012238389812409878, 0.010612684302031994, 0.009268322959542274]","[0.003096636850386858, 0.04080333560705185, 0.0045728604309260845, 0.005943015683442354, 0.005736093968153, 0.004893737845122814, 0.007387907709926367, 0.006948108784854412, 0.003839236916974187, 0.006306565832346678]","[0.1388477236032486, 0.11583201587200165, 0.11311278492212296, 0.095791757106781, 0.09153594821691513, 0.08698134124279022, 0.09189146757125854, 0.09055545181035995, 0.0817781537771225, 0.07866039127111435]","[0.040228571742773056, 0.1937122344970703, 0.055194057524204254, 0.06313533335924149, 0.0644339844584465, 0.05785650387406349, 0.07058912515640259, 0.06913256645202637, 0.04950009286403656, 0.06499896943569183]",66.6122989654541
40,0,"[0.02731127105653286, 0.017255820333957672, 0.014640698209404945, 0.014496617019176483, 0.0110500892624259, 0.01071962434798479, 0.011688005179166794, 0.012176251038908958, 0.009272591210901737, 0.010412400588393211]","[0.025852924212813377, 0.0033800231758505106, 0.005732778925448656, 0.009151055477559566, 0.007168883923441172, 0.0035383126232773066, 0.005680816248059273, 0.014519931748509407, 0.007653478533029556, 0.005099029745906591]","[0.1341031789779663, 0.10765958577394485, 0.09938475489616394, 0.09722018986940384, 0.08438624441623688, 0.08090690523386002, 0.08476486057043076, 0.08895505219697952, 0.07849961519241333, 0.0831989049911499]","[0.14864623546600342, 0.04731165990233421, 0.06345875561237335, 0.07922936230897903, 0.06895024329423904, 0.046967554837465286, 0.06252727657556534, 0.10203250497579575, 0.06985006481409073, 0.05461229011416435]",197.02294325828552
50,0,"[0.08264919370412827, 0.018806546926498413, 0.013425047509372234, 0.016973324120044708, 0.012831541709601879, 0.009617066942155361, 0.008503825403749943, 0.009066254831850529, 0.008760355412960052, 0.0097515769302845]","[0.029275668784976006, 0.003693211590871215, 0.005789513699710369, 0.008670669980347157, 0.006394365336745977, 0.011390440165996552, 0.004345716442912817, 0.004883174784481525, 0.005123018752783537, 0.008659512735903263]","[0.15561312437057495, 0.1128334179520607, 0.09438589215278625, 0.10532703995704651, 0.0928848460316658, 0.0801241546869278, 0.0766633152961731, 0.07637426257133484, 0.07446581870317459, 0.07937934994697571]","[0.1614573746919632, 0.04960760846734047, 0.06370647251605988, 0.07761933654546738, 0.06568698585033417, 0.09030045568943024, 0.05236057564616203, 0.05424530804157257, 0.05639524757862091, 0.07553083449602127]",695.4063460826874
5,0,"[0.052607662975788116, 0.029456891119480133, 0.023719409480690956, 0.023134734481573105, 0.01874680630862713, 0.020534195005893707, 0.016964271664619446, 0.01354796253144741, 0.014703342691063881, 0.015376022085547447]","[0.019624317064881325, 0.012450271286070347, 0.020649129524827003, 0.014553183689713478, 0.008709399029612541, 0.004887757822871208, 0.008726473897695541, 0.005295619834214449, 0.01170648355036974, 0.009985247626900673]","[0.18116986751556396, 0.13795167207717896, 0.12577272951602936, 0.12472087889909744, 0.11113942414522171, 0.11348152160644531, 0.10396016389131546, 0.09640178084373474, 0.10043061524629593, 0.09900978207588196]","[0.13104917109012604, 0.09966820478439331, 0.13406342267990112, 0.10892751812934875, 0.07859663665294647, 0.054908305406570435, 0.07847107946872711, 0.05811743438243866, 0.09409750998020172, 0.08539193123579025]",51.334659576416016
10,0,"[0.049292974174022675, 0.02637954242527485, 0.016432516276836395, 0.019572176039218903, 0.015298453159630299, 0.012649632059037685, 0.015887349843978882, 0.014744359068572521, 0.013448311015963554, 0.013462967239320278]","[0.005264649633318186, 0.006147445645183325, 0.005742417648434639, 0.018930036574602127, 0.007919613271951675, 0.012180548161268234, 0.008230356499552727, 0.011040127836167812, 0.004925365559756756, 0.0043349917978048325]","[0.17291980981826782, 0.12319111824035645, 0.10676765441894531, 0.11614350229501724, 0.10337916016578674, 0.0895860567688942, 0.10196007043123245, 0.09893514961004257, 0.09422363340854645, 0.0991177186369896]","[0.05771496891975403, 0.06369733065366745, 0.061556264758110046, 0.12663371860980988, 0.07449819892644882, 0.09539810568094254, 0.0760279968380928, 0.08981641381978989, 0.0582568496465683, 0.05552864074707031]",48.930789947509766
20,0,"[0.042826563119888306, 0.01748606376349926, 0.01777075044810772, 0.015976648777723312, 0.013803108595311642, 0.01018835511058569, 0.013789916411042213, 0.011267454363405704, 0.011195198632776737, 0.012159695848822594]","[0.02119513787329197, 0.013601250015199184, 0.006843314506113529, 0.02305327169597149, 0.00975752156227827, 0.0073005445301532745, 0.011918347328901291, 0.009962688200175762, 0.007173863239586353, 0.0186713058501482]","[0.15688475966453552, 0.10858803987503052, 0.10703572630882263, 0.10196338593959808, 0.09260934591293335, 0.08100486546754837, 0.09398721903562546, 0.0864252969622612, 0.08199411630630493, 0.08783599734306335]","[0.13536465167999268, 0.10336507111787796, 0.06758901476860046, 0.14035014808177948, 0.08347287774085999, 0.07018404453992844, 0.0932132676243782, 0.08394418656826019, 0.06956744194030762, 0.12357456237077713]",54.15016174316406
30,0,"[0.06012095510959625, 0.040493547916412354, 0.0268508642911911, 0.02792389504611492, 0.022177092730998993, 0.021756766363978386, 0.022136835381388664, 0.0224800705909729, 0.021878080442547798, 0.01708545908331871]","[0.02523103728890419, 0.022596098482608795, 0.006113299168646336, 0.02078084833920002, 0.008377764374017715, 0.006481787655502558, 0.010827560909092426, 0.007315207738429308, 0.008283133618533611, 0.006890374701470137]","[0.19288142025470734, 0.15635110437870026, 0.1329481452703476, 0.13678546249866486, 0.12244687229394913, 0.11950372904539108, 0.11782605946063995, 0.1191684901714325, 0.11916609853506088, 0.10597860813140869]","[0.15013673901557922, 0.1404748260974884, 0.06203225255012512, 0.1323523372411728, 0.07542034983634949, 0.06444443017244339, 0.08774187415838242, 0.06972675025463104, 0.0754041001200676, 0.06759931892156601]",53.26123070716858
